,az_sect,alt_sect,az_rel,alt_rel,px_x,px_y,type,misc,out1,out2,az_total,alt_total,ref_x,ref_y,ref_az,ref_alt
0,,,,,,,camera_name,Slayer Mobile,,,,,,,,
1,,,,,4000.0,3000.0,sensor_dimensions,,,,,,,,,
2,,,,,,,lens_name,native,,,,,,,,
3,,,,,,,zoom_factor,1,,,,,,,,
4,,,,,,,settings_notes,Nothing to say,,,,,,,,
5,,,,,4000.0,2250.0,cal_image_dimensions,,,,,,,,,
6,,,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,,,
7,,,,,,,orientation,portrait,,,,,,,,
8,,,,,,,quadrant,LB,,,,,,,,
9,,,,,,,targets_diameter,1,,,,,,,,
10,0.0,0.0,0.0,0.0,0.0,0.0,ref_point,crosshairs,,,0.0,0.0,1124.5,1999.5,0.0,0.0
11,0.0,0.0,0.0,0.0,,,calculate_and_record,crosshairs,1124.5,4292.725675767651,0.0,0.0,,,,
12,0.0,0.0,0.0,0.0,1122.0,2000.0,align,target_center,,,,,,,,
13,0.0,0.0,0.0,0.0,1122.0,1976.0,align,target_top,,,,,,,,
14,0.0,0.0,0.0,0.0,1121.0,2023.0,align,target_bottom,,,,,,,,
15,0.0,0.0,0.0,0.0,1098.0,1999.0,align,target_left,,,,,,,,
16,0.0,0.0,0.0,0.0,1145.0,1999.0,align,target_right,,,,,,,,
17,0.0,0.0,0.0,0.0,,,calculate_and_record,target_pos_azalt_relaim,-0.05319148936170213,48.77035959276234,0.0,0.0,,,,
18,0.0,0.0,0.0,0.0,,,calculate_and_record,target_center_calculated_from_edges,1121.5106382978724,1999.0,0.0,0.0,,,,
19,0.0,0.0,0.0,-20.0,1118.0,3005.0,align,vertical_left,,,,,,,,
20,0.0,0.0,0.0,-20.0,1169.0,3004.0,align,vertical_right,,,,,,,,
21,0.0,0.0,0.0,-20.0,1142.5,3004.5,ref_point,crosshairs,,,0.0,-20.0,1124.5,3004.2091618971135,0.0,-20.0
22,0.0,0.0,0.0,-20.0,,,calculate_and_record,rotation_error_v_and_px_delta,1.2072943511049872,0.01960407493444558,0.0,-20.0,,,,
23,0.0,0.0,0.0,-20.0,,,calculate_and_record,crosshairs,1124.5,3004.2091618971135,0.0,-20.0,,,,
24,0.0,0.0,-15.0,0.0,384.0,1989.0,align,horizontal_top,,,,,,,,
25,0.0,0.0,-15.0,0.0,385.0,2038.0,align,horizontal_bottom,,,,,,,,
26,0.0,0.0,-15.0,0.0,384.0,2013.0,ref_point,crosshairs,,,-15.0,0.0,386.3855102357088,1999.5,-15.0,0.0
27,0.0,0.0,-15.0,0.0,,,calculate_and_record,rotation_error_h_and_px_delta,1.0520341314752324,0.020403914662519312,-15.0,0.0,,,,
28,0.0,0.0,-15.0,0.0,,,calculate_and_record,crosshairs,386.3855102357088,1999.5,-15.0,0.0,,,,
29,0.0,0.0,0.0,-5.0,1127.0,2239.0,ref_point,,,,0.0,-5.0,1124.5,2238.5522955338433,0.0,-5.0
30,0.0,0.0,0.0,-10.0,1133.0,2485.0,ref_point,,,,0.0,-10.0,1124.5,2484.624726230276,0.0,-10.0
