px_x,px_y,alt,az
0.0,0.0,128.95320055503768,
0.0,100.0,103.07438501407543,
0.0,200.0,77.19556947311317,
0.0,300.0,51.3167539321509,
0.0,400.0,25.437938391188652,
0.0,500.0,-0.4408771497735984,
0.0,600.0,-26.319692690735877,
0.0,700.0,-52.19850823169813,
0.0,800.0,-78.07732377266038,
0.0,900.0,-103.95613931362263,
0.0,1000.0,-129.83495485458488,
100.0,0.0,130.65472082732504,
100.0,100.0,104.77590528636279,
100.0,200.0,78.89708974540052,
100.0,300.0,53.018274204438256,
100.0,400.0,27.139458663476006,
100.0,500.0,1.2606431225137555,
100.0,600.0,-24.618172418448523,
100.0,700.0,-50.496987959410774,
100.0,800.0,-76.37580350037302,
100.0,900.0,-102.25461904133527,
100.0,1000.0,-128.1334345822975,
200.0,0.0,132.3562410996124,
200.0,100.0,106.47742555865014,
200.0,200.0,80.59861001768788,
200.0,300.0,54.71979447672561,
200.0,400.0,28.84097893576336,
200.0,500.0,2.9621633948011095,
200.0,600.0,-22.91665214616117,
200.0,700.0,-48.79546768712342,
200.0,800.0,-74.67428322808567,
200.0,900.0,-100.55309876904792,
200.0,1000.0,-126.43191431001017,
300.0,0.0,134.05776137189974,
300.0,100.0,108.1789458309375,
300.0,200.0,82.30013028997524,
300.0,300.0,56.421314749012964,
300.0,400.0,30.542499208050714,
300.0,500.0,4.663683667088463,
300.0,600.0,-21.215131873873815,
300.0,700.0,-47.093947414836066,
300.0,800.0,-72.97276295579832,
300.0,900.0,-98.85157849676057,
300.0,1000.0,-124.73039403772282,
400.0,0.0,135.7592816441871,
400.0,100.0,109.88046610322485,
400.0,200.0,84.0016505622626,
400.0,300.0,58.12283502130032,
400.0,400.0,32.24401948033807,
400.0,500.0,6.365203939375817,
400.0,600.0,-19.51361160158646,
400.0,700.0,-45.39242714254871,
400.0,800.0,-71.27124268351096,
400.0,900.0,-97.15005822447321,
400.0,1000.0,-123.02887376543546,
500.0,0.0,137.46080191647445,
500.0,100.0,111.5819863755122,
500.0,200.0,85.70317083454995,
500.0,300.0,59.82435529358767,
500.0,400.0,33.94553975262542,
500.0,500.0,8.066724211663171,
500.0,600.0,-17.812091329299108,
500.0,700.0,-43.69090687026136,
500.0,800.0,-69.56972241122361,
500.0,900.0,-95.44853795218586,
500.0,1000.0,-121.32735349314811,
600.0,0.0,139.1623221887618,
600.0,100.0,113.28350664779956,
600.0,200.0,87.4046911068373,
600.0,300.0,61.52587556587504,
600.0,400.0,35.64706002491279,
600.0,500.0,9.76824448395054,
600.0,600.0,-16.110571057011754,
600.0,700.0,-41.989386597974004,
600.0,800.0,-67.86820213893625,
600.0,900.0,-93.7470176798985,
600.0,1000.0,-119.62583322086076,
700.0,0.0,140.86384246104916,
700.0,100.0,114.98502692008691,
700.0,200.0,89.10621137912466,
700.0,300.0,63.227395838162394,
700.0,400.0,37.348580297200144,
700.0,500.0,11.469764756237893,
700.0,600.0,-14.4090507847244,
700.0,700.0,-40.28786632568665,
700.0,800.0,-66.1666818666489,
700.0,900.0,-92.04549740761115,
