xang_sect,yang_sect,xang_rel,yang_rel,x_rec,y_rec,type,misc,out1,out2,xang_total,yang_total,x_px,y_px,xang,yang
0,-60,0,0,,,align,target_top,,,,,,,,
0,-60,0,0,,,align,target_bottom,,,,,,,,
0,-60,0,0,,,align,target_left,,,,,,,,
0,-60,0,0,,,align,target_right,,,,,,,,
0,-60,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
0,-60,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
0,-60,0,-20,,,align,vertical_left,,,,,,,,
0,-60,0,-20,,,align,vertical_right,,,,,,,,
0,-60,0,-20,,,ref_point,center,,,,,,,,
0,-60,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
0,-60,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
0,-60,-15,0,,,align,horizontal_top,,,,,,,,
0,-60,-15,0,,,align,horizontal_bottom,,,,,,,,
0,-60,-15,0,,,ref_point,center,,,,,,,,
0,-60,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
0,-60,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
0,-60,0,-5,,,ref_point,,,,,,,,,
0,-60,0,-10,,,ref_point,,,,,,,,,
0,-60,0,-15,,,ref_point,,,,,,,,,
0,-60,-5,0,,,ref_point,,,,,,,,,
0,-60,-5,-5,,,ref_point,,,,,,,,,
0,-60,-5,-10,,,ref_point,,,,,,,,,
0,-60,-5,-15,,,ref_point,,,,,,,,,
0,-60,-10,0,,,ref_point,,,,,,,,,
0,-60,-10,-5,,,ref_point,,,,,,,,,
0,-60,-10,-10,,,ref_point,,,,,,,,,
0,-60,-10,-15,,,ref_point,,,,,,,,,
0,-80,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
0,-80,0,0,,,align,target_center,,,,,,,,
0,-80,0,0,,,align,target_top,,,,,,,,
0,-80,0,0,,,align,target_bottom,,,,,,,,
0,-80,0,0,,,align,target_left,,,,,,,,
0,-80,0,0,,,align,target_right,,,,,,,,
0,-80,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
0,-80,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
0,-80,0,-20,,,align,vertical_left,,,,,,,,
0,-80,0,-20,,,align,vertical_right,,,,,,,,
0,-80,0,-20,,,ref_point,center,,,,,,,,
0,-80,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
0,-80,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
0,-80,-15,0,,,align,horizontal_top,,,,,,,,
0,-80,-15,0,,,align,horizontal_bottom,,,,,,,,
0,-80,-15,0,,,ref_point,center,,,,,,,,
0,-80,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
0,-80,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
0,-80,0,-5,,,ref_point,,,,,,,,,
0,-80,0,-10,,,ref_point,,,,,,,,,
0,-80,0,-15,,,ref_point,,,,,,,,,
0,-80,-5,0,,,ref_point,,,,,,,,,
0,-80,-5,-5,,,ref_point,,,,,,,,,
0,-80,-5,-10,,,ref_point,,,,,,,,,
0,-80,-5,-15,,,ref_point,,,,,,,,,
0,-80,-10,0,,,ref_point,,,,,,,,,
0,-80,-10,-5,,,ref_point,,,,,,,,,
0,-80,-10,-10,,,ref_point,,,,,,,,,
0,-80,-10,-15,,,ref_point,,,,,,,,,
-15,0,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,0,0,0,627,2012,align,target_center,,,,,,,,
-15,0,0,0,627,1996,align,target_top,,,,,,,,
-15,0,0,0,627,2028,align,target_bottom,,,,,,,,
-15,0,0,0,610,2011,align,target_left,,,,,,,,
-15,0,0,0,644,2011,align,target_right,,,,,,,,
-15,0,0,0,,,calculate_and_record,target_pos_xyangs_relaim,,,,,,,,
-15,0,0,0,,,calculate_and_record,target_center_calculated_from_edges,,,,,,,,
-15,0,0,-20,603,2685,align,vertical_left,,,,,,,,
-15,0,0,-20,638,2682,align,vertical_right,,,,,,,,
-15,0,0,-20,620,2683,ref_point,center,,,,,,,,
-15,0,0,-20,,,calculate_and_record,rotation_error_v_and_px_delta,,,,,,,,
-15,0,0,-20,,,calculate_and_record,crosshairs,,,,,,,,
-15,0,-15,0,70,1989,align,horizontal_top,,,,,,,,
-15,0,-15,0,69,2025,align,horizontal_bottom,,,,,,,,
-15,0,-15,0,69,2006,ref_point,center,,,,,,,,
-15,0,-15,0,,,calculate_and_record,rotation_error_h_and_px_delta,,,,,,,,
-15,0,-15,0,,,calculate_and_record,crosshairs,,,,,,,,
-15,0,0,-5,625,2173,ref_point,,,,,,,,,
-15,0,0,-10,624,2338,ref_point,,,,,,,,,
-15,0,0,-15,622,2507,ref_point,,,,,,,,,
-15,0,-5,0,453,2010,ref_point,,,,,,,,,
-15,0,-5,-5,453,2176,ref_point,,,,,,,,,
-15,0,-5,-10,452,2344,ref_point,,,,,,,,,
-15,0,-5,-15,450,2515,ref_point,,,,,,,,,
-15,0,-10,0,269,2008,ref_point,,,,,,,,,
-15,0,-10,-5,268,2178,ref_point,,,,,,,,,
-15,0,-10,-10,267,2351,ref_point,,,,,,,,,
-15,0,-10,-15,267,2527,ref_point,,,,,,,,,
-15,-20,0,0,,,calculate_and_record,this_section_crosshairs,,,,,,,,
-15,-20,0,0,667,2684,align,target_center,,,,,,,,
-15,-20,0,0,668,2666,align,target_top,,,,,,,,
-15,-20,0,0,666,2702,align,target_bottom,,,,,,,,
-15,-20,0,0,649,2684,align,target_left,,,,,,,,
-15,-20,0,0,684,2683,align,target_right,,,,,,,,
