,x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
0,,,,,camera_name,slayer wide 16 to 9 cal 4,,,,,,
1,,,,,lens_name,Native wide,,,,,,
2,,,,,zoom_factor,None,,,,,,
3,,,,,settings_notes,Nothing to say,,,,,,
4,,,4000.0,2250.0,cam_image_dimensions,,,,,,,
5,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
6,,,,,orientation,landscape,,,,,,
7,,,,,quadrant,LB,,,,,,
8,,,,,distance,199.5,,,,,,
9,,,,,align_targets_radius,10,,,,,,
62,-120.0,-40.0,945.0,1481.0,ref_point,,,,945.0,1481.0,-30.97890471557133,-11.623378793466241
63,-120.0,-60.0,946.0,1657.0,ref_point,,,,946.0,1657.0,-30.97259992029101,-17.011303205276164
64,-120.0,-80.0,945.0,1834.0,ref_point,,,,945.0,1834.0,-30.966294292078032,-22.106843713040227
65,-120.0,-100.0,944.0,2011.0,ref_point,,,,944.0,2011.0,-30.959987830920102,-26.859827542513848
66,-120.0,-122.1,942.0,2204.0,ref_point,,,,942.0,2204.0,-30.95301822260052,-31.68390564754676
67,-140.0,0.0,761.0,1128.5,ref_point,,,,759.4950604937092,1124.5,-35.059426966886974,0.0
68,-140.0,-20.0,767.0,1307.0,ref_point,,,,767.0,1307.0,-35.0212321290628,-6.02780162863846
69,-140.0,-40.0,769.0,1481.0,ref_point,,,,769.0,1481.0,-35.01547967498118,-11.631607072000183
70,-140.0,-60.0,770.0,1658.0,ref_point,,,,770.0,1658.0,-35.0097264115218,-17.019145462294265
71,-140.0,-80.0,768.0,1835.0,ref_point,,,,768.0,1835.0,-35.00397233862984,-22.11420530803287
72,-140.0,-100.0,768.0,2011.0,ref_point,,,,768.0,2011.0,-34.9982174562506,-26.866653036032574
73,-140.0,-122.1,765.0,2206.0,ref_point,,,,765.0,2206.0,-34.99185736971187,-31.69011586668045
74,-160.0,0.0,586.0,1130.0,ref_point,,,,584.4985865731442,1124.5,-38.729787797323915,0.0
75,-160.0,-20.0,591.0,1307.0,ref_point,,,,591.0,1307.0,-38.69509644193573,-6.036283594906358
76,-160.0,-40.0,594.0,1482.0,ref_point,,,,594.0,1482.0,-38.68987153365354,-11.639834864081017
77,-160.0,-60.0,592.0,1659.0,ref_point,,,,592.0,1659.0,-38.684645862089006,-17.026987062243464
78,-160.0,-80.0,589.0,1836.0,ref_point,,,,589.0,1836.0,-38.67941942716179,-22.121566134421528
79,-160.0,-100.0,589.0,2011.0,ref_point,,,,589.0,2011.0,-38.67419222879164,-26.8734777058192
80,-160.0,-122.1,588.0,2208.0,ref_point,,,,588.0,2208.0,-38.668415286602325,-31.696325254793827
81,-180.0,0.0,409.0,1128.0,ref_point,,,,407.4949748823028,1124.5,-42.05853500608889,0.0
82,-180.0,-20.0,414.0,1307.0,ref_point,,,,414.0,1307.0,-42.027110677955015,-6.044765295625174
83,-180.0,-40.0,417.0,1483.0,ref_point,,,,417.0,1483.0,-42.022377770101116,-11.648062169412572
84,-180.0,-60.0,413.0,1659.0,ref_point,,,,413.0,1659.0,-42.01764415754335,-17.034828004912605
85,-180.0,-80.0,411.0,1836.0,ref_point,,,,411.0,1836.0,-42.012909840188954,-22.128926192083647
86,-180.0,-100.0,410.0,2012.0,ref_point,,,,410.0,2012.0,-42.00817481794516,-26.88030155182924
87,-180.0,-122.1,410.0,2207.0,ref_point,,,,410.0,2207.0,-42.00294179845896,-31.70253381190786
88,-200.0,0.0,234.0,1129.0,ref_point,,,,232.4974533125312,1124.5,-45.07170932365058,0.0
89,-200.0,-20.0,235.0,1306.0,ref_point,,,,235.0,1306.0,-45.04327770433352,-6.053246730435662
90,-200.0,-40.0,236.0,1483.0,ref_point,,,,236.0,1483.0,-45.03899552381204,-11.656288987698787
91,-200.0,-60.0,233.0,1660.0,ref_point,,,,233.0,1660.0,-45.034712702238245,-17.04266829009067
92,-200.0,-80.0,230.0,1839.0,ref_point,,,,230.0,1839.0,-45.03042923951603,-22.136285480896767
93,-200.0,-100.0,230.0,2015.0,ref_point,,,,230.0,2015.0,-45.02614513554931,-26.88712457401828
94,-200.0,-122.1,227.0,2210.0,ref_point,,,,227.0,2210.0,-45.02141045477506,-31.708741538043586
95,-220.0,0.0,,,ref_point,,,,,,,
96,-220.0,-20.0,53.0,1307.0,ref_point,,,,53.0,1307.0,-47.77196355957911,-6.06172789897864
97,-220.0,-40.0,53.0,1484.0,ref_point,,,,53.0,1484.0,-47.768089224154494,-11.664515318643724
