,x_px,y_px,xang,yang
6,-0.0,0.0,-0.0,-0.0
8,-0.0,274.0018248114418,-0.0,4.8852025681173
9,279.0286723618201,0.0,4.8852025681173,-0.0
11,-0.0,1644.024634851923,-0.0,27.555321907048867
12,-711.5,2216.5,-12.522044260393326,35.0389055170782
14,2964.074391778992,0.0,43.23372951399095,-0.0
15,1974.5,823.5,32.42850025408836,15.120952056474826
18,-0.0,546.0036629913759,-0.0,9.700391943945801
19,-0.0,818.0097798926367,-0.0,14.381394591090602
20,-0.0,1088.0165439918642,-0.0,18.874549758203326
21,-0.0,1354.0180944138083,-0.0,23.139461763211695
22,-715.5,846.5,-12.373726420263756,14.836615488647878
23,-715.5,1117.5,-12.402793201979879,19.308688574216845
24,-713.5,1389.5,-12.431853499443644,23.54927458927132
25,-712.5,1657.5,-12.460907299878091,27.533276307229833
26,-712.5,1925.5,-12.489954590525327,31.248351315264706
28,556.0323731582541,0.0,9.700391943945801,-0.0
29,-441.5,843.5,-7.627301069686112,14.86508305716996
30,-441.5,1115.5,-7.657231336337099,19.33582188024378
31,-441.5,1386.5,-7.687157399468619,23.574874939460585
32,-442.5,1655.5,-7.717079243641576,27.557229339419774
33,-442.5,1922.5,-7.746996853430435,31.27061594882007
34,-440.5,2214.5,-7.780050869054292,35.05932606145313
35,826.0490300218262,0.0,14.381394591090602,-0.0
36,-171.5,841.5,-2.773434732476981,14.893543119172913
37,-172.5,1112.5,-2.80383174699392,19.362946171635222
38,-173.5,1383.5,-2.834227181999325,23.600465310768264
39,-173.5,1653.5,-2.8646210205092357,27.581171925034305
40,-173.5,1920.5,-2.895013245545065,31.29287007868238
41,-172.5,2216.5,-2.9285947572884186,35.07973639623816
42,1098.0455363963738,0.0,18.874549758203326,-0.0
43,101.5,838.5,2.12050356517973,14.921995663586916
44,98.5,1109.5,2.090075549880636,19.390061440731024
45,96.5,1381.5,2.059646355066566,23.626045698824022
46,95.5,1650.5,2.0292159978354096,27.605104062549714
47,95.5,1919.5,1.9987844952889857,31.315113705573015
48,95.5,2216.5,1.9651563735497624,35.10013652391187
49,1365.0366295451563,0.0,23.139461763211695,-0.0
50,367.5,836.5,6.983754648461211,14.95044067936283
51,364.5,1108.5,6.953734033607185,19.417167679892277
52,364.5,1379.5,6.923709581352642,23.651616099276865
53,364.5,1649.5,6.893681307454511,27.629025750458176
54,362.5,1919.5,6.863649227682121,31.33734683022534
55,364.5,2216.5,6.830459372251398,35.12052644696073
56,1631.0518078834896,0.0,27.149681697783162,-0.0
57,633.5,835.5,11.748162801833683,14.978878155472183
58,630.5,1103.5,11.718953737220048,19.44426488150135
59,630.5,1375.5,11.689738493628418,23.6771765077951
60,631.5,1645.5,11.660517084294662,27.65293698726777
61,630.5,1917.5,11.631289522473061,31.359569453384672
62,633.5,2213.5,11.598985927217061,35.14090616787905
63,1894.0517416374876,0.0,30.89168640717413,-0.0
64,897.5,831.5,16.35363690654702,15.00730808090724
65,896.5,1099.5,16.325579302209416,19.47135303796186
66,897.5,1371.5,16.297513646681235,23.70272692006634
67,896.5,1642.5,16.26943994997053,27.676837771502438
68,895.5,1912.5,16.241358222106545,31.381781575808265
69,897.5,2211.5,16.210318584583717,35.161275689168974
70,2157.0593408619984,0.0,34.362785490709925,-0.0
71,1161.5,830.5,20.752049680877317,15.035730444680961
72,1160.5,1097.5,20.725401125548085,19.498432141698647
73,1162.5,1368.5,20.69874318746646,23.72826733179745
74,1163.5,1639.5,20.672075873223807,27.70072810170196
75,1163.5,1911.5,20.645399189432407,31.403983198265287
76,1162.5,2208.5,20.615910564925723,35.18163501334045
77,2424.0596114782325,0.0,37.568592028827496,-0.0
78,1427.5,828.5,24.90907630330321,15.06414523582705
79,1426.5,1098.5,24.884007063078638,19.52550218515782
80,1429.5,1367.5,24.858927643055793,23.753797738714578
81,1431.5,1639.5,24.83383804664904,27.724607976421943
82,1431.5,1909.5,24.80873827729113,31.426174321536784
83,1431.5,2208.5,24.780991205036102,35.20198414291122
84,2695.0818169398867,0.0,40.520539547649726,-0.0
85,1700.5,825.5,28.804071285102697,15.092552443399937
86,1698.5,1095.5,28.780670203430272,19.552563160806706
87,1699.5,1364.5,28.75725861676173,23.779318136563102
88,1701.5,1636.5,28.733836525844737,27.748477394233777
89,1702.5,1906.5,28.710403931441615,31.44835494641567
90,1704.5,2206.5,28.684498699876393,35.222323080406795
93,1973.5,1094.5,32.40678761480743,19.579615061133843
94,1976.5,1364.5,32.38506452426866,23.804828521107616
95,1976.5,1635.5,32.36333098117404,27.772336353724622
96,1977.5,1907.5,32.34158698423629,31.470525073706686
97,1977.5,2206.5,32.3175477081337,35.24265182836041
