,x_cm,y_cm,x_rec,y_rec,type,misc,out1,out2,x_px,y_px,xang,yang
0,,,,,camera_name,sony a7 iii,,,,,,
1,,,,,lens_name,20mm Sony,,,,,,
2,,,,,zoom_factor,None,,,,,,
3,,,,,settings_notes,Nothing to say,,,,,,
4,,,6000.0,3376.0,cam_image_dimensions,,,,,,,
5,,,,,pixel_map_type,3d_degree_poly_fit_abs_from_center,,,,,,
6,,,,,orientation,landscape,,,,,,
7,,,,,quadrant,LB,,,,,,
8,,,,,distance,234.0,,,,,,
9,,,,,align_targets_radius,20.0,,,,,,
61,-120.0,-20.0,1366.0,1960.0,ref_point,,,,1366.0,1960.0,-27.21584176103491,-5.252784307059126
62,-120.0,-40.0,1369.0,2228.0,ref_point,,,,1369.0,2228.0,-27.191740441772154,-10.059958132943011
63,-120.0,-60.0,1369.0,2500.0,ref_point,,,,1369.0,2500.0,-27.167628701090848,-14.728470870929048
64,-120.0,-80.0,1368.0,2770.0,ref_point,,,,1368.0,2770.0,-27.143506540775952,-19.205595662137657
65,-120.0,-100.0,1369.0,3042.0,ref_point,,,,1369.0,3042.0,-27.119373962628785,-23.45199267141766
66,-120.0,-122.1,1366.0,3338.0,ref_point,,,,1366.0,3338.0,-27.092695349895465,-27.84574155376845
67,-140.0,0.0,1099.0,1684.0,ref_point,,,,1105.4482583625124,1687.5,-30.89168640717413,0.0
68,-140.0,-20.0,1102.0,1956.0,ref_point,,,,1102.0,1956.0,-30.95321654753728,-5.2829966004743385
69,-140.0,-40.0,1103.0,2224.0,ref_point,,,,1103.0,2224.0,-30.93080257022058,-10.089494870377173
70,-140.0,-60.0,1102.0,2496.0,ref_point,,,,1102.0,2496.0,-30.90837807973243,-14.756966836625319
71,-140.0,-80.0,1103.0,2767.0,ref_point,,,,1103.0,2767.0,-30.885943075549147,-19.23276312190152
72,-140.0,-100.0,1104.0,3037.0,ref_point,,,,1104.0,3037.0,-30.86349755715943,-23.47763086606894
73,-140.0,-122.1,1102.0,3336.0,ref_point,,,,1102.0,3336.0,-30.838683030585173,-27.869557835442304
74,-160.0,0.0,836.0,1682.0,ref_point,,,,842.4406591380016,1687.5,-34.362785490709925,0.0
75,-160.0,-20.0,838.0,1955.0,ref_point,,,,838.0,1955.0,-34.41971921420563,-5.313205947953722
76,-160.0,-40.0,839.0,2222.0,ref_point,,,,839.0,2222.0,-34.398980089109,-10.11902619003175
77,-160.0,-60.0,837.0,2493.0,ref_point,,,,837.0,2493.0,-34.37823067920093,-14.785455338016831
78,-160.0,-80.0,836.0,2764.0,ref_point,,,,836.0,2764.0,-34.35747098227555,-19.259921596305155
79,-160.0,-100.0,836.0,3036.0,ref_point,,,,836.0,3036.0,-34.33670099613562,-23.503259098606783
80,-160.0,-122.1,837.0,3333.0,ref_point,,,,837.0,3333.0,-34.31373819233164,-27.89336365186143
81,-180.0,0.0,569.0,1681.0,ref_point,,,,575.4403885217675,1687.5,-37.568592028827496,0.0
